row,col,user,postnum,coherence,theme
0,0,Mary,3,not mentioned,education
1,0,Mary,3,low,university
2,0,Mary,3,low,exams
3,0,Mary,3,high,grades
4,0,Mary,3,medium,education
0,1,Joe,7,medium,exams
1,1,Joe,7,medium,learning
2,1,Joe,7,high,lectures
3,1,Joe,7,medium,grades
4,1,Joe,7,low,improvement
0,2,Bob,5,low,students
1,2,Bob,5,not mentioned,exams
2,2,Bob,5,medium,job
3,2,Bob,5,high,education
4,2,Bob,5,medium,graduate
0,3,Susan,1,not mentioned,education
1,3,Susan,1,not mentioned,job
2,3,Susan,1,low,university
3,3,Susan,1,medium,improvement
4,3,Susan,1,not mentioned,grades
0,4,David,4,low,students
1,4,David,4,high,exams
2,4,David,4,medium,education
3,4,David,4,high,learning
4,4,David,4,high,grades
